Объект,Полный адрес,Вид объекта,Принадлежность к Юнеско,описание предмета охраны
Мемориальная аллея с центральной стелой и вечным огнем," Оренбургская область, г. Оренбург городской округ, город Оренбург, просп. Победы, сооружение 75Б, сооружение 114А",Ансамбль,Не принадлежит Юнеско,"1.Градостроительные характеристики Объекта:  -местоположение и градостроительные характеристики ансамбля, его роль в композиционно- планировочной структуре г. Оренбурга;   -местоположение в г. Оренбурге – вдоль восточной стороны пр. Победы от места его пересечения с ул. Орской на протяжении 350 метров в северном направлении.  2.Объемно-пространственное решение территории Объекта:   -местоположение границ территории и объекта на ней;   -культурный слой глубиной 3,0 метра.  3.Объемно-планировочное решение Объекта:  -в ансамбль входят:   1 – памятный знак (центральная стела) в виде стилобата с обелиском и знаменем на нем;   2 – вечный огонь на плоскости стилобата;   3 – мемориальные стелы с полукруглой стеной за памятным знаком (центральной стелой) и по обе стороны вдоль аллеи;   4 – мемориальные тумбы со списками погибших по обе стороны от памятного знака (центральной стелы).  4.Конструктивное решение Объекта:   -железобетонные конструкции мемориала с гранитной облицовкой, бронзовыми деталями и подводом газопровода к чаше вечного огня.  5.Архитектурно-художествен-ное решение Объекта:  -гранитный трехступенчатый стилобат;   -бронзовая чаша в виде пятиконечной звезды в лучах, окантованная лавровым венком с лентой на площадке второй ступени стилобата;   -памятный знак (центральная стела) в виде призмы, облицованной светло-серым мрамором с каннелюрой по центральной вертикальной оси, и металлическим знаменем с георгиевской лентой, солдатской каской и лавровой веткой в верхней части призмы;   -скругленная в плане, облицованная красным гранитом стена с таблицами, на которых нанесены с позолотой имена оренбуржцев, героев Советского Союза и полных Кавалеров Ордена Славы, фланкированная металлическими стягами с датами начала и окончания войны – «1941», «1945»;   -ряд трехгранных стел на облицованном серым гранитом цоколе со и списками погибших солдат под лавровыми бронзовыми гирляндами, объединенные по верху позолоченными лентами с закрепленными на вертикальных, имитирующих георгиевские ленты, стойках, с медалями «За оборону Москвы», «За оборону Ленинграда», «За оборону Киева», «За взятие Берлина», «Партизану Отечественной Войны», «Адмирал Ушаков», «За взятие Кенигсберга», «За оборону Сталинграда», «За оборону Одессы», «За оборону Севастополя», «За боевые заслуги», «Адмирал Нахимов», «За отвагу», «Наше дело правое – мы победим»;   -ряд облицованных красным гранитом тумб с таблицами, на которых по латунным листам нанесены списки погибших солдат и, на вторых от центра тумбах, нанесены рельефные надписи «Здесь священные списки – след далекой войны», «Вы счастье жить потомкам подарили и Оренбург прославили в веках». "
"Городское православное кладбище с братскими могилами советских воинов, умерших в госпиталях г. Оренбурга от ран в годы Великой Отечественной войны 1941-1945 гг."," Оренбургская область, г. Оренбург, проспект Победы",Ансамбль,Не принадлежит Юнеско,"1.Градостроительные характеристики Объекта:  -местоположение и градостроительные характеристики ансамбля, его роль в композиционно-планировочной структуре г. Оренбурга;   - местоположение в г. Оренбурге на территории, ограниченных с юга ул. Орской, с запада – проспектом Победы, с севера – промышленной, служебной и складской застройкой различных организаций города, с востока – ул. Самолетной.  2.Объемно-пространственное решение территории Объекта:  -местоположение границ территории и объекта на ней;   -культурный слой глубиной 3,0 метра.  3.Объемно-планировочное решение Объекта:  -ограда кладбища со стороны ул. Орской и проспекта Победы;   -центральная аллея, ведущая к братской могиле с надгробием из черного гранита (на схеме № 4);   -братская могила на центральной аллее с надгробием из черного гранита (на схеме № 4);  -восемь братских могил с мраморными надгробными плитами, рассредоточенных по территории кладбища (на схеме № 1-3; 5-9);  -захоронения советских воинов, участников Великой Отечественной войны 1941-1945гг. (уточняется по результатам дополнительных исследований).  4.Конструктивное решение Объекта:  -мраморные и гранитные надгробные плиты братских могил;   -оборудование территории братских могил (на схеме № 1-3; 5-9) тротуарной плиткой и гранитными поребриками.  5.Архитектурно- художественное решение Объекта:   -надгробия братских могил (на схеме № 1-3; 5-9) в виде горизонтальных мраморных плит с высеченной надписью «Братская могила умерших в госпиталях города Оренбурга 1941-1945» с окаймленной гранитными поребриками, клумбой;   -надгробие братской могилы (на схеме № 4) из черного гранита в виде стилобата и плиты с надписью «Братская могила воинов, умерших в госпиталях г. Оренбурга от ран в годы Великой Отечественной войны 1941-1945 гг.»."
Городское мусульманское кладбище с могилами советских воинов - участников Великой Отечественной войны 1941-1945 гг.," Оренбургская область, г. Оренбург, проспект Победы",Ансамбль,Не принадлежит Юнеско,"1.Градостроительные характеристики Объекта:  -местоположение и градостроительные характеристики ансамбля, его роль в композиционно- планировочной структуре г. Оренбурга;   -местоположение в г. Оренбурге на территории, ограниченной с юга ул. Орской, с запада – ул. Абдулинской, с севера – промышленной, служебной и складской застройкой различных организаций города, с востока – проспектом Победы.  2.Объемно-пространственное решение территории Объекта:   -местоположение границ территории и объекта на ней;   -культурный слой глубиной 3,0 метра.  3.Объемно-планировочное решение Объекта:   -старинная кирпичная ограда кладбища конца XIX – начала XX века;   -кирпичные входные ворота конца XIX – начала XX века;   -центральная аллея кладбища;  -воинские захоронения периода Великой Отечественной войны с пятиконечными металлическими красными звездами;   -захоронения мусульман – советских воинов, участников Великой Отечественной войны 1941-1945 гг.  4.Конструктивное решение Объекта:   -надгробные сооружения могил (уточняется по результатам дополнительных исследований).  5.Архитектурно- художественное решение Объекта:   -кирпичные въездные ворота с арочным завершением и парапетными столбиками по обеим сторонам; возвышающийся над плоскостью арки замковый камень со ступенчатыми карнизами и дентикулами основания арки; филенчатые парапетные столбики;   -каменная неоштукатуренная ограда по периметру кладбища;   -воинские захоронения периода Великой Отечественной войны с пятиконечными металлическими красными звездами;   -захоронения мусульман – советских воинов, участников Великой Отечественной войны 1941-1945 гг."
Колония политических заключенных ВС-389/36 (Пермь-36)," Пермский край, Чусовской городской округ, д. Кучино",Ансамбль,Не принадлежит Юнеско,"1. Градостроительные характеристики:  1.1 Расположение на правом берегу р. Чусовая при впадении в нее р. Боярка южнее населенного пункта д. Кучино    1.2 Ансамбль, состоящий из двух территорий: участок строгого режима (1) и участок особого режима (2)    1.3 Основные точки восприятия объекта расположены на его территории, внешние точки восприятия расположены на автодороге, соединяющей оба участка (от точки с общегеографическими координатами 58°15’52.9”N 57°25’55.4”E до точки с общегеографическими координатами 58°15’24.8”N 57°25’32.2”E)    1.4 Историческое функциональное зонирование участка строгого режима: жилая зона (I) и производственная зона (II)    1.5 Трассировка основных аллей – вдоль внешнего юго-восточного ограждения, соединяющая жилую и производственную зону строгого режима, перпендикулярные ей проезды по центру жилой и производственной зон; центральный проезд участка особого режима  1.6 Ансамбль, состоящий из следующих объектов культурного наследия:   1. «Общелагерный штаб». Кадастровый номер - 59:11:0470000:299.  2. «Жилой барак 2-го отряда». Кадастровый номер - 59:11:0470000:269.  3. «Административное здание жилой зоны». Кадастровый номер - 59:11:0470000:253.  4. «Хозяйственный блок (баня с прачечной)». Кадастровый номер - 59:11:0470000:265.  5. «Медсанчасть». Кадастровый номер - 59:11:0470000:262.  6. «Штрафной изолятор».  Кадастровый номер - 59:11:0470000:255.  7. «Контрольно-пропускной пункт».  Кадастровый номер - 59:11:0470000:251.  8. «Производственные помещения (здание лагерных мастерских с гаражом)». Кадастровый номер - 59:11:0470000:254.  9. «Административное здание производственной зоны».  Кадастровый номер - 59:11:0470000:263.  10. «Контрольно-пропускной пункт с полосой досмотра в зону особого режима». Кадастровый номер - 59:11:0470000:250.  11. «Жилой барак с прогулочными двориками в зоне особого режима». Кадастровый номер - 59:11:0470000:249.   2. Объемно-пространственные характеристики  2.1 Характер расположения сооружений в пространстве – разделенные системой заграждения постройки жилой и производственной зоны участка строгого режима, ориентированные вдоль проездов с юго-востока на северо-запад; хозяйственный блок и штрафной изолятор, формирующие вторую линию застройки жилой зоны; жилой барак в зоне особого режима, ориентированный с востока на запад  2.2 Соподчинение сооружений по размерам и планировочному положению – основной доминантой является 2-этажное с мезонином здание общелагерного штаба, расположенное в восточной части производственной зоны участка строгого режима; остальные постройки участка строгого режима имеют подчиненный характер. Доминантой участка особого режима является 2-этажное здание контрольно-пропускного пункта  2.3 Пространственная организация ансамбля – отдельно стоящие и сблокированные здания, разделенные открытыми пространствами  2.4 Бассейн визуального восприятия ограничен левым берегом р. Чусовая от р. Боярка до площадки перед КПП участка особого режима, проездом к гаражу южнее участка особого режима; основные точки восприятия элементов ансамбля расположены внутри заграждения территории участков строгого и особого режимов  3. Состав ансамбля  3.1 Общелагерный штаб - 2-этажное с мезонином в западной части кирпичное прямоугольное в плане здание под двускатной крышей:    3.1.1 - мезонин с эркером, имеющим витражное панорамное остекление    3.1.2 - материал фасадной поверхности – штукатурка с окраской в один цвет   3.1.3 - глухие металлические решетки на окнах    3.1.4 - система пропуска, состоящая из решетчатого коридора с дверьми и комнаты дежурного    3.2 Участок строгого режима – в границах ограждения, составляющих прямоугольник с востока на запад – 100 м, с севера на юг – 130 м:    Жилая зона:  3.2.1 Жилой барак 2-го отряда – 1-этажное рубленое из бревен в обло с остатком прямоугольное, вытянутое с юго-востока на северо-запад здание под двускатной крышей:    3.2.1.1 - материал фасадной поверхности – беленый сруб   3.2.1.2 - обшивка выпусков сруба доской    3.2.1.3 - подквадратные окна с глухими двойными деревянными рамами; рисунок переплетов – 9 квадратов    3.2.1.4 - оштукатуренная пристройка-тамбур главного входа в центре северо-восточного фасада    3.2.1.5 - планировка этажа - расположение стен, проемов    3.2.1.6 - деревянные филенчатые двери    3.2.2 Административное здание жилой зоны (столовая, кинозал) – 1-этажное кирпичное прямоугольное в плане, вытянутое с юго-востока на северо-запад здание под двускатной крышей:    3.2.2.1 - материал фасадной поверхности – штукатурка с побелкой   3.2.2.2 - прямоугольные окна с двойными деревянными рамами   3.2.2.3 -планировка этажа - коридорная, вдоль с юго-западного фасада расположены административные помещения, вдоль северо-восточного – столовая и кинозал    3.2.2.4 - помещение бывшего кинозала (пом. 4) – открытое пространство без перегородок:   3.2.2.5 - квадратные в плане колонны, поддерживающие опущенный по периметру потолок    3.2.2.6 - мозаичный пол из бетона с добавлением мраморной крошки и вставками мраморных плит    3.2.2.7 - деревянные филенчатые стеновые панели и лестницы с ограждением-балясинами    3.2.3 Хозяйственный блок (баня с прачечной) – одноэтажное прямоугольное в плане здание, состоящее из двух блоков - бревенчатого, рубленного в лапу, и кирпичного, под общей двускатной крышей:    3.2.3.1 - материал фасадной поверхности – штукатурка с побелкой   3.2.3.2 - печь в кирпичном блоке    3.2.4 Медсанчасть – одноэтажное деревянное прямоугольное в плане здание под двускатной крышей:    3.2.4.1 - материал фасадной поверхности – дощатая обшивка в елочку, обшивка выпусков сруба вертикальной доской    3.2.4.2 - рамочные наличники прямоугольных окон с деревянными двойными створными рамами, зубчатый накладной фриз    3.2.4.3 - предмет охраны в интерьере не выявлен   3.2.5 Штрафной изолятор - одноэтажное кирпичное прямоугольное в плане здание под двускатной крышей:    3.2.5.1 - материал фасадной поверхности – лицевая кирпичная кладка с побелкой   3.2.5.2 - прямоугольные оконные проемы с деревянными рамами и металлическими решетками    3.2.5.3 - планировочное решение - коридор с камерами по внешней стороне   3.2.5.4 - плотницкие двери, обитые металлом, со смотровым глазком, металлические решетки в коридоре    3.2.5.5 - бетонные табуретки и стол, откидные нары в камерах    3.2.6 Контрольно-пропускной пункт - между жилой и производственной зоной  одноэтажное деревянное квадратное в плане здание под двускатной крышей. Материал стен – сруб «в обло» с побелкой    Производственная зона:  3.2.7 Производственные помещения (здание лагерных мастерских с гаражом) – одноэтажное здание, состоящее из двух прямоугольных объемов - кирпичного и деревянного, расположенных под небольшим углом друг к другу, кирпичный объем под двускатной крышей, деревянный – под двускатной с изломом:     3.2.7.1 - материал фасадной поверхности кирпичной части - штукатурка с побелкой, деревянной - сруб   3.2.7.2 - двускатная кровля с изломом на деревянной части    3.2.7.3 - предмет охраны в интерьере не выявлен   3.2.8 Административное здание  производственной зоны – одноэтажное прямоугольное деревянное здание под двускатной крышей. Предмет охраны в интерьере не выявлен    3.2.9 Система заграждений (заборы, вышки) – многорядная система заграждения вокруг всего участка строгого режима:     3.2.9.1 - ограждение из дощатого забора, контрольной полосы, ограждений из колючей проволоки     3.2.9.2 - наблюдательные вышки (дощатые по металлическому каркасу) с мостиками и лестницами по углам территории    3.3 Участок особого режима расположен в 220 м к западу от участка строгого режима – территория в границах ограждения, составляющих прямоугольник с востока на запад – 50 м, с севера на юг – 75 м.  Экспликация плана:  1. Маскировочный забор (из досок)  2. Забор типа «Шиповник»  3. Основной забор (из досок)  4. Наблюдательные вышки  5. Охранная система  6. Предупредительный забор (колючая проволока)  7. Здание КПП и караульные помещения  8. Забор из досок  9. Барак  10. Прогулочные дворики  11. Склад готовой продукции  12. Котельная  13. Овощехранилище    3.3.1 Контрольно-пропускной пункт с полосой досмотра в зону особого режима – одно-двухэтажное бетонно-кирпичное здание в восточной части участка особого режима, под скатной крышей и территорией для досмотра автомобилей:   3.3.1.1 - КПП с деревянным эркером на западном фасаде, имеющим панорамное остекление    3.3.1.2 - система прохода внутрь участка особого режима, состоящая из решетчатого коридора с дверьми и комнаты дежурного    3.3.1.3 - полоса досмотра, состоящая из металлического ограждения из переплетенных полос и колючей проволоки, двух металлических ворот, досмотровой ямы и шипованного шлагбаума    3.3.2 Жилой барак с прогулочными двориками в зоне особого режима - одноэтажное прямоугольное в плане здание под скатной крышей, вытянутое с востока на запад:    3.3.2.1 - конструктивная схема здание – кирпичные столбы с забиркой из окантованных бревен (бруса)   3.3.2.2 - подквадратные окна с двойными глухими деревянными рамами и металлическими наружными решетками    3.3.2.3 - прогулочные дворики у северного фасада – дощатые конструкции, перекрытые металлической решеткой и имеющие подмости с навесом для надзирателей (два дворика)    3.3.2.4 - планировочное решение - коридорное с камерами по сторонам коридора   3.3.2.5 - плотницкие двери, обитые железом, с металлическими открывными решетками и смотровыми окошками    3.3.2.6 - бетонные унитазы типа «очко» с металлическими перегородками между ними    3.3.3 Система заграждений (заборы, вышки):   3.3.3.1 - ограждение из дощатого забора, контрольной полосы, ограждений из колючей проволоки и металлической полосы     3.3.3.2 - наблюдательные вышки (дощатые по металлическому каркасу) с мостиками и лестницами по углам территории    4. Элементы благоустройства и озеленения  4.1 Березовая аллея вдоль основного проезда жилой зоны участка строгого режима    5. Мемориальная ценность  5.1 Подлинные или воссозданные объекты недвижимости, связанные с историей государственног"
Варница Никольская," Пермский край, г.о. город Березники, г. Усолье, ул. Спасская, д. 11 стр. 2.",Памятник,Не принадлежит Юнеско,"1. Градостроительные особенности:  1.1 Расположение с отступом от линии застройки ул. Спасская на территории Нижних промыслов (историческая часть современного г. Усолье)     1.2 Основные точки восприятия вдоль улицы Спасской    2. Архитектурные особенности  (экстерьер):  2.1 Объемно – пространственное решение – прямоугольное в плане одноэтажное здание под скатной крышей     2.2 Материал стен – полнотелый керамический кирпич начала 19 в.   2.3 Материал фасадной поверхности – лицевая кладка, побелка     2.4 Характер архитектурного декора фасадов в стилистике позднего классицизма:    2.4.1 Венчающий профилированный карниз    2.4.2 Лучковые окна с клинчатыми перемысками и имитацией замкового камня, со ступенчатыми подоконниками    2.4.3 Фланкирующие рустованные лопатки    3. Архитектурные особенности (интерьер):  3.1 Планировочное решение – расположение капитальных стен     4. Мемориальные особенности  4.1 Подлинный объект материальной культуры начала 19 в., свидетельствующий о социально-экономическом развитии региона   "
Памятник героям гражданской войны ," Приморский край, г. Спасск-Дальний, ул. Советская,  у МБОУ СОШ № 1",Памятник,Не принадлежит Юнеско,
Дом жилой," Псковская область,  Печорский район, г. Печоры, ул. Каштановая, д. 2",Памятник,Не принадлежит Юнеско,
Монастырь Спасо-Казанский. Комплекс," Псковская область, Островский район, г. Остров, ул. Малая Пионерская, д. 80",Ансамбль,Не принадлежит Юнеско,
Достопримечательное место «Территория бывшего концентрационного лагеря «Моглино»," Псковская область, Псковский район, Тямшанская волость, д. Моглино, 11 км по Рижскому шоссе в сторону Риги",Достопримечательное место,Не принадлежит Юнеско,
Братские кельи," Псковская область, г. Псков, Мирожский монастырь, д. 4",Памятник,Не принадлежит Юнеско,
Банька монастырская," Псковская область, г. Псков, Мирожский монастырь, д. 5",Памятник,Не принадлежит Юнеско,
Ограда каменная с южными воротами," Псковская область, г. Псков, Мирожский монастырь, д. 6",Памятник,Не принадлежит Юнеско,
«ШТАЛАГ 372» - территория концентрационного лагеря с массовыми захоронениями советских военнопленных  и мирных граждан," Псковская область, г. Псков, территория между улицами Юбилейная, Генерала Маргелова, Шестака и Майора Доставалова",Достопримечательное место,Не принадлежит Юнеско,
Родильный дом," Псковская область, г. Псков, ул. Кузнецкая, д. 21",Памятник,Не принадлежит Юнеско,"Объемно-пространственная композиция главного корпуса здания;  конструкция, форма и высотные отметки крыши;  композиция фасадов здания: центрально-осевая симметрия, раскреповка стен, ризалиты, расположение и габариты оконных и дверных проемов, разорванный фронтон центрального ризалита, прямоугольные оконные ниши боковых фасадов, балкон дворового фасада;  декор фасадов: горизонтальные элементы композиции фасадов - штукатурный цоколь, подоконные тяги, венчающий карниз; декор главного фасада - профилированные порталы боковых ризалитов, замковые камни окон 1-го этажа, архивольты окон 2-го этажа, круглые медальоны в простенках окон 2-го этажа и овальный медальон в тимпане центрального ризалита; рамочный наличник, фриз и сандрик в форме ступенчатой полочки парадного входа в здание;  планировка в пределах капитальных стен с сохранением коридорной системы и основных пространственных связей;  материал и конструкция междуэтажных лестниц (двухмаршевые, бетонные по металлическим косоурам).  "
Особняк," Псковская область, город Псков, улица Красных партизан, д. 13",Памятник,Не принадлежит Юнеско,"1. Объемно-пространственная композиция дома, складывающаяся из основного объема и пристроек.   1. Архитектурная композиция и декор фасадов:   - расположение оконных проемов в одних вертикальных осях в цокольном и первом этажах уличного фасада;  - габариты, форма и конструкция первоначальных оконных и дверных проемов на фасадах дома;  - местоположение парадного входа с лестницей в деревянной пристройке с южной стороны фасада;  - двухскатная и односкатная форма крыши;  - резной деревянный декор западного и южного фасада 1-го этажа основного объема, имитирующий приемы каменной оштукатуренной кладки - карниз большого выноса,  резные кронштейны, филенчатые лопатки,  оконные наличники, прямые сандрики с горизонтальными ромбами, прямоугольные филенки с ромбами, резные оконные накладки, прямоугольные подоконные филенки с полукруглыми боковыми выступами, деревянный наличник чердачного окна, имитирующий руст;  - междуэтажный карниз завершения цокольной части;  - декоративные «замки» цокольной части;   - резной деревянный декор пристройки - угловые филенчатые лопатки, карниз и парапет с полукруглым завершением центральной части, угловыми тумбами и филенкой, изображающей сложное окно с гирькой;  2. Материал стен: цокольного этажа – камень, штукатурка; первого  этажа и мезонина – деревянный сруб, обшитый тесом.  3. Первоначальная анфиладная планировка основного объема.  4. Сохранившиеся потолочные карнизы.  "
Сторожевая  башня  Дзоциева  Барко," Республика  Северная  Осетия-Алания,  Алагирский  район,  с.с. Н. Зарамаг  и  В. Зарамаг",Памятник,Не принадлежит Юнеско,"1. Место расположения башни в планировочной структуре селения.  2. Градостроительная значимость Памятника, как объекта, маркирующего южный отселок Нижнего Зарамага, известный как Дзоцитыкау.  3. Композиционная значимость в структуре застройки села.  Башня и усадьба находятся на южном отселке (Дзоцитыкау) Нижннго Зарамага, на невысоком холме, откуда открывается вид на всю обширную Зарамагскую котловину.  4. Участок, его историческая застройка (границы, состав застройки и элементов благоустройства), рельеф территории.  5. Археологический подъемный материал в границах территории памятника.  Расположенные под дерновым слоем пласты грунтов, образовавшиеся в процессе жизнедеятельности человека и содержащие в себе недвижимые остатки и предметы материальной культуры:   а) полностью или частично скрытые в земле остатки и фрагменты хозяйственных, производственных, ритуальных и иных сооружений; б) полностью или частично скрытые в земле либо находящиеся на ее поверхности целые либо фрагментированные предметы, изготовленные из глины, камня, кости, стекла, металлов и иных материалов, в том числе остеологического материала.  6. Силуэтная характеристика объекта и его связь с природной средой – лаконичный по формам объем многоярусного сооружения, органично вписан в ландшафт.  7. Типологические характеристики, включая объемно-планировочное решение и фасады. Комплекс из жилых, оборонительных и хозяйственных сооружений  8. Сохранившиеся конструкции башни и других строений и конструкций, их конфигурация, материал.  9. Основные габариты (в том числе толщина стен): Габариты башни 6,10 х 6,10 (м). Толщина стен в уровне второго яруса — 1,10 м. Высота стен башни сохранилась на высоту 7,60 м (трех ярусов). Габариты камеры башни 3,00x3,00 (м).  10. Входной проем, его расположение, размеры, форма, конструкция.  Входной проем устроен в южном фасаде, в уровне второго яруса. Габариты: ширина- 0,80 и 1,00 м, высота- 1,40 и 1,80 м.  11. Коробка деревянного заполнения входного проема.  12. Две подпрямоугольные бойницы в уровне третьего яруса на восточном фасаде, их расположение, размеры, форма.  13. Материал, из которого построена башня, – природный камень: известняковые, гранитные, сланцевые блоки, ломаный пластинчатый сланец, булыжник, (цветовая гамма - серый, коричневый)  14. Характер кладки - бутовая, с хаотичной перевязкой швов.    "
"Замок (ганах) Худаловых, Святилище ""Саниба"", склепы"," Республика  Северная  Осетия-Алания, Алагирский район, с. Архон. ",Ансамбль,Не принадлежит Юнеско,"Предметом охраны объекта культурного наследия регионального значения «Склепы», входящего в состав объекта культурного наследия регионального значения «Замок (ганах) Худаловых, средние вв. Святилище «Саниба», склепы», расположенного по адресу: Республика Северная Осетия-Алания, Алагирский район, с. Архон, являются:  градостроительная характеристика комплекса в формировании исторической застройки селения Архон;  материалы и техника кладки склепов;  пространственно-планировочная структура интерьера склепов могильника в пределах капитальных стен;  композиционное решение и архитектурно-художественное оформление сооружений, включая местоположение, размер, форму, оформление проемов, сводов, ниш, элементов декора;  объемно-пространственная композиция, планировка, застройка, природный ландшафт, археологический слой, объемно-пространственная структура, фрагментарное и руинированное наследие, форма и облик элементов, объединенных масштабом, объемом, структурой, стилем, материалами, цветом и декоративными элементами, соотношение с природным и созданным человеком окружением.  Предметом охраны объекта культурного наследия регионального значения «Замок (ганах) Худаловых, средние вв.», расположенного по адресу: Республика Северная Осетия-Алания, Алагирский район, с. Архон, являются:  объемно-пространственное решение: исторические габариты и  конфигурация (неправильная в плане), вид материала (каменная);  историческое объемно-планировочное решение ганаха в габаритах наружных стен;  конструктивная система: исторические наружные стены  местоположение; фундамент - историческое местоположение;  архитектурно-художественное решение фасадов: материал и вид отделки фасадов - каменная кладка, сложена из разноразмерного каменного материала на известковом растворе."
