Объект,Полный адрес,Вид объекта,описание предмета охраны
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алейский район, с. Уржум, ул. Садовая, 18",Памятник,"1. Градостроительная характеристика.  Памятник расположен на территории школы в селе Уржум Алейского района на улице Садовой.  2. Архитектурно-строительная композиция.  Памятник представляет собой пирамидальный обелиск с мемориальными досками, установлен на трехступенчатом основании и увенчан пятиконечной звездой.  К обелиску прикреплены мемориальные доски с надписями: «Вечная слава героям, павшим в борьбе за Родину 1941 1945 г», «Воинам-землякам павшим в Великой Отечественной войне 1941-1945 гг», «Вам, Герои Великой Отечественной войны, бесконечно благодарны живущие.».  3. Благоустройство.  Территории огорожена, выполнено озеленение"
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алейский район, с. Урюпино, ул. Школьная, 26 а",Памятник,"1. Градостроительная характеристика.  Памятник установлен с. Урюпино Алейского района на улице Школьной.  2. Архитектурно-строительная композиция.  Памятник представляет собой пирамидальный обелиск, установленный на трехступенчатом основании, увенчаный пятиконечной звездой.  На гранях обелиска расположены мемориальные доски: «Вам, Герои Великой Отечественной войны бесконечно благодарны живущие.» и «Вечная слава героям, павшим в борьбе с фашизмом 1941 1945 г».  3. Благоустройство.  Территории огорожена, выполнено озеленение"
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алейский район, с.Малиновка, ул.Центральная, 32а",Памятник,"1. Градостроительная характеристика.  Памятник расположен в центре села Малиновка Алейского района на улице Центральной.  2. Архитектурно-строительная композиция.  Памятник представляет собой стену сложной формы с изображениями представителей трех родов войск - пехотинца, моряка, танкиста. На стене располагается памятная надпись: «Подвиг ваш переживет века» и даты «1941 / 1945». В верхней части мемориальной стены симметрично с двух сторон расположены Ордена Отечественной войны.  В центре мемориальной стены установлены мемориальные доски с фамилиями погибших воинов.  Вечный огонь в виде пятиконечной звезды установлен у подножия памятника на невысоком квадратном в плане основании.  3. Благоустройство.  Территория огорожена, выполнено озеленение"
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алейский район, село Вавилон, улица Комсомольская, 36",Памятник,"1. Градостроительная характеристика.  Памятник расположен в центре села Вавилон Алейского района на улице Комсомольской.  2. Архитектурно-строительная композиция.  Памятник включает скульптуру и мемориальную стену.  Скульптура солдата установлена на невысоком прямоугольном  постаменте.  На мемориальной стене находятся барельефные поплечные изображения воинов различных родов войск, мемориальные доски с 42-мя фамилиями односельчан, погибших в годы Великой Отечественной войны и изображения пятиконечных звезд.  На мемориальной стене надпись: «Подвиг Ваш переживет века» и даты «1941 / 1945».  3. Благоустройство.  Территория задернована. "
"Обелиск воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алейский район, село Дружба, улица Пионерская, 33",Памятник,"1. Градостроительная характеристика.  Обелиск расположен в центре села Дружба Алейского района на улице Пионерской.  2. Архитектурно-строительная композиция.  Памятник представляет собой обелиск в виде усеченной пирамиды на трехступенчатом основании. Обелиск увенчан пятиконечной звездой на стержне.  На лицевой грани памятника имеется мемориальная доска с текстом: «Вечная слава героям павшим в борьбе за Родину 1941 1945 г.».  3. Благоустройство.  Территория огорожена, выполнено озеленение."
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алейский район, село Моховское, улица Центральная, 2А",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алейский район, с. Моховское.  2. Композиционное решение:  фамилии погибших воинов-односельчан.  3. Мемориальное значение:  памятник посвящен событиям Великой Отечественной войны (1941-1945 гг.)."
Могила Яркину А.Я. - участнику Гражданской войны,"Алтайский край, Алтайский район, с. Алтайское",Памятник,
"Могила Губина И.Н., участника Гражданской войны","Алтайский край, Алтайский район, с. Алтайское",Памятник,
Дом жилой,"Алтайский край, Алтайский район, с. Алтайское, ул. З. Космодемьянской, д. 40",Памятник,
"Бюст основателю детского дома ""Муравейник"" Ершову В.С.","Алтайский край, Алтайский район, с. Алтайское, ул. Заречная, 60",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Алтайское.  2. Автор:  скульптор Б.Т. Миронов.  3. Мемориально-композиционное решение:  скульптурное изображение;  постамент;  информационная надпись;  памятник посвящен российскому и советскому педагогу, организатору первого в Сибири детского приюта."
"Мемориал Славы воинам землякам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алтайский район, с. Алтайское, ул. Советская, 115 а ",Памятник,
"Памятник воинам-учителям, павшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алтайский район, с. Алтайское, ул. Советская, 120 б",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Алтайское.  2. Мемориальное значение:  памятник посвящен событиям Великой Отечественной войны (1941-1945 гг.)."
Памятник первооткрывателям космоса,"Алтайский край, Алтайский район, с. Алтайское, ул. Советская, 157 а",Памятник,
Магазин купца Рождественского,"Алтайский край, Алтайский район, с. Алтайское, ул. Советская, 187",Памятник,
"Памятник землякам, ушедшим на фронт в 1941 г.","Алтайский край, Алтайский район, с. Алтайское, ул. Советская, 189 а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Алтайское.  2. Мемориально-композиционное решение:  памятник посвящен событиям Великой Отечественной войны (1941–1945 гг.).  "
Магазин купца Фирсова,"Алтайский край, Алтайский район, с. Алтайское, ул. Советская, 190",Памятник,
"Памятник комсомольцам, погибшим за власть Советов","Алтайский край, Алтайский район, с. Алтайское, ул. Советская, 220 а",Памятник,
"Памятник ""За Власть Советов""","Алтайский край, Алтайский район, с. Алтайское, ул. Советская, 97/1",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алтайский район, с. Ая, ул. Победы, 1/1",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Ая.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Памятник воинам, павшим за освобождение Родины (1941-1945 гг.)","Алтайский край, Алтайский район, с. Белое, ул. Шоссейная, 1 а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Белое.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
Братская могила партизан,"Алтайский край, Алтайский район, с. Булатово",Памятник,
"Памятник участникам Великой Отечественной войны (1941-1945 гг.) ""Они защищали Родину""","Алтайский край, Алтайский район, с. Куяган, ул. Куяганская",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Куяган.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
Здание бывшего волостного правления,"Алтайский край, Алтайский район, с. Куяган, ул. Октябрьская, 2",Памятник,
"Памятник комсомольцам, павшим в годы Гражданской войны","Алтайский край, Алтайский район, с. Куяган, ул. Октябрьская, 2",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Куяган.  2. Мемориальность:  объект культурного наследия посвящен событиям Гражданской войны   на Алтае."
"Памятник воинам, павшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алтайский район, с. Куяган, ул. Октябрьская, 2 в",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Куяган.  2. Композиционное решение:  фамилии погибших воинов-односельчан.  3. Мемориальное значение:  памятник посвящен событиям Великой Отечественной войны (1941-1945 гг.)."
Дом сельского писаря,"Алтайский край, Алтайский район, с. Куяган, ул. Октябрьская, 7",Памятник,
Братская могила погибших партизан,"Алтайский край, Алтайский район, с. Куяган, ул. Советская",Памятник,
Братская могила партизан,"Алтайский край, Алтайский район, с. Куяча",Памятник,
"Памятник ""Воину-освободителю""","Алтайский край, Алтайский район, с. Куяча, ул. Школьная, 2 а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Куяча.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
Братская могила партизан,"Алтайский край, Алтайский район, с. Нижнекаменка",Памятник,
"Мемориал Славы ""Никто не забыт"" погибшим в годы Великой Отечественной войны","Алтайский край, Алтайский район, с. Нижнекаменка, пер. Мостовой, 2 а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Нижнекаменка.  2. Мемориально-композиционное решение:  фамилии погибших воинов-односельчан;  памятник посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
Памятник погибшим воинам-землякам (1941-1945 гг.),"Алтайский край, Алтайский район, с. Пролетарка, ул. Школьная, 2 в",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Пролетарка.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
Памятник погибшим в годы Гражданской войны,"Алтайский край, Алтайский район, с. Россоши",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Россоши.  2. Мемориальность:  объект культурного наследия посвящен событиям Гражданской войны   на Алтае."
"Памятник односельчанам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алтайский район, с. Россоши, ул. Ленина, 20 г",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Россоши.  2. Композиционное решение:  фамилии погибших воинов-односельчан.  3. Мемориальное значение:  памятник посвящен событиям Великой Отечественной войны (1941-1945 гг.)."
Братская могила погибших партизан,"Алтайский край, Алтайский район, с. Сараса, ул. Кузьмина, 20 а",Памятник,
Братская могила погибших партизан,"Алтайский край, Алтайский район, с. Старобелокуриха, ул. Партизанская, 9а",Памятник,
"Обелиск воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алтайский район, с. Старобелокуриха, ул. Советская, 102 а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Старобелокуриха.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алтайский район, с. Старобелокуриха, ул. Советская, 83 б",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Старобелокуриха.  2. Композиционное решение:  мемориальные доски с фамилиями погибших воинов-односельчан.  3. Мемориальное значение:  памятник посвящен событиям Великой Отечественной войны (1941-1945 гг.)."
Братская могила партизан,"Алтайский край, Алтайский район, с. Тоурак, ул. Заветы Ильича, 44",Памятник,
Церковно-приходская школа,"Алтайский край, Алтайский район, с. Тоурак, ул. Заветы Ильича, 47 а",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Алтайский район, с. Тоурак, ул. Центральная, 11 а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Алтайский район, с. Тоурак.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
Дом купца М.В. Михеева,"Алтайский край, Алтайский район, с. Тоурак, ул. Центральная, 8",Памятник,
Жилой дом,"Алтайский край, Алтайский район, село Алтайское, ул. К. Маркса, дом 124",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.); 10 бюстов Героев Советского Союза","Алтайский край, Баевский район, с. Баево, ул. Ленина, 39А",Ансамбль,
Братская могила партизан,"Алтайский край, Баевский район, с. Баево, ул. Ленина, 39А",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, с. Верх-Пайва, ул. Советская (парк Победы)",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Баевский район, с. Верх-Пайва.  2. Композиционное решение:  фамилии погибших воинов-односельчан.  3. Мемориальное значение:  памятник посвящен событиям Великой Отечественной войны (1941-1945 гг.)."
"Бюст Героя Советского Союза П.М.Перепечина, участника Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, с. Верх-Пайва, ул. Советская, 16",Памятник,
Братская могила трех погибших партизан,"Алтайский край, Баевский район, с. Верх-Пайва, ул.Советская (парк Победы)",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, с. Верх-Чуманка, ул. Ленина, 1а",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, с. Нижнечуманка, ул. Кулундинская, 39а",Памятник,
"Обелиск воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, с. Павловка, ул. Ленина, 26а",Памятник,
"Бюст Героя Советского Союза С.Н.Россоха, участника Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, с. Паклино, ул. Береговая, 11",Памятник,
"Обелиск воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, с. Паклино, центр села",Памятник,
"Мемориальная плита в честь Героя Советского Союза В.П.Пичугова, участника Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, с. Паклино, центр села",Памятник,
Братская могила партизан,"Алтайский край, Баевский район, с. Плотава, напротив здания сельсовета",Памятник,
Братская могила партизан,"Алтайский край, Баевский район, с. Прослауха, ул. Центральная, 18а",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, с. Прослауха, ул. Центральная, 29а",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, с. Сафроново, ул. Школьная, 7а",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, с. Ситниково, центр села",Памятник,
"Обелиск воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, с. Чуманка, ул. Ленина, 28-а",Памятник,
Братская могила,"Алтайский край, Баевский район, с. Чуманка, центр села",Памятник,
Братская могила 11 погибших партизан,"Алтайский край, Баевский район, село Нижнепайва, центр села",Памятник,
"Обелиск воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, село Нижнепайва, центр села",Памятник,
"Бюст Героя Советского Союза А.И.Крючкова, участника Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, село Плотава, улица Центральная, 21",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, село Плотава, улица Центральная, 36-а",Памятник,
"Обелиск воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Баевский район, село Покровка, улица Центральная, 30",Памятник,
Братская могила погибших партизан,"Алтайский край, Бийский район, в сторону Горно-Алтайска с левой стороны Чуйского тракта в 2км. от жилой зоны с. Сростки и в 100 м. от Чуйского тракта",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, п. Ягодный, ул. Центральная, 12а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, п. Ягодный.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, п. Ясная Поляна, ул. Школьная, 1г",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, п. Ясная Поляна.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, п.Восточный, ул. Центральная, 1г",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, п. Восточный.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, пос. Мальцева Курья, ул. Озерная, 18 б",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, п. Мальцева Курья.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
Сельская школа,"Алтайский край, Бийский район, пос. Мальцева Курья, ул. Озерная, 20",Памятник,
"Стела земляку, Герою Советского союза Н.И. Трофимову, участнику Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, пос. Мальцева Курья, ул. Трофимова, 6 а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, п. Мальцева Курья.  2. Мемориальность:  объект культурного наследия посвящен памяти Героя Советского Союза   Н.И. Трофимова и событиям Великой Отечественной войны (1941–1945 гг.)."
"Памятник братьям Ивановым, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, пос. Семеновод, ул. Братьев Ивановых, 24а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, п. Семеновод.  2. Мемориальность:  объект культурного наследия посвящен памяти участников военных действий - братьям Ивановым и событиям Великой Отечественной войны (1941–1945 гг.)."
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, поселок Амурский, ул. Катунская, 18-а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, п. Амурский.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Памятник - часовня воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, с. Верх-Бехтемир, территория школы",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, с. Верх-Бехтемир.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Мемориальный комплекс воинам ГПЗ Катунь, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, с. Верх-Катунское, ул. Ленина, 23 в",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, с. Верх-Катунское.  2. Композиционное решение:  фамилии погибших воинов-односельчан.  3. Мемориальное значение:  памятник посвящен событиям Великой Отечественной войны (1941-1945 гг.)."
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, с. Енисейское, ул. Мисюкова, 70-а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, с. Енисейское.  2. Композиционное решение:  фамилии погибших воинов-односельчан.  3. Мемориальное значение:  памятник посвящен событиям Великой Отечественной войны (1941-1945 гг.)."
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, с. Ключи, ул. Советская, 6",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, с. Ключи.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, с. Лесное, ул. Лесная, 50",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, с. Лесное.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Братская могила партизан, погибших в годы гражданской войны","Алтайский край, Бийский район, с. Лесное, ул. Советская, 11-а",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, с. Малоенисейское, ул. Советская, 94",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, с. Малоенисейское.  2. Мемориально-композиционное решение:  фамилии погибших воинов-односельчан;  памятник посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, с. Малоугренево, пл. Щигарева, 4",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, с. Малоугренево.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
Дом жилой,"Алтайский край, Бийский район, с. Новиково, ул. Нагорная, 1",Памятник,
Дом жилой,"Алтайский край, Бийский район, с. Новиково, ул. Нагорная, 10",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, с. Новиково, ул. Советская, 30а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, с. Новиково.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, с. Первомайское, пл. Мира, 7",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, с. Первомайское.  2. Мемориальность:  объект культурного наследия посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Бийский район, с. Светлоозерское, ул. Центральная, 24а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Бийский район, с. Светлоозерское.  2. Композиционное решение:  фамилии погибших воинов-односельчан.  3. Мемориальное значение:  памятник посвящен событиям Великой Отечественной войны (1941-1945 гг.)."
Поповский остров,"Алтайский край, Бийский район, с. Сростки",Достопримечательное место,
Баклань - старая часть с. Сростки,"Алтайский край, Бийский район, с. Сростки",Достопримечательное место,
"Гора Пикет - памятное место, связанное с жизнью и творчеством В.М. Шукшина","Алтайский край, Бийский район, с. Сростки",Достопримечательное место,
"Усадьба, купленная В.М. Шукшиным для матери, в которой М.С. Куксина жила с 1965 по 1972 год","Алтайский край, Бийский район, с. Сростки, пер. Кривой, 34",Ансамбль,"Описание предмета охраны объекта культурного наследия   регионального значения:  1. Характер поверхности: у подножия горы Пикет, на Куделькиной горе.  2. Планировочные характеристики:  местоположение объектов, входящих в состав усадьбы;  усадебный тип планировки;  трассировка дорог, дорожек, тип мощения, размещение исторических зеленых насаждений на территории усадьбы;  исторический характер ограждения усадьбы.  3. Объемно-пространственные характеристики:   характер расположения объектов в пространстве;   существующие габаритные размеры сооружений;   существующие высотные показатели объектов: жилой дом               М.С. Куксиной – 5.6 м; баня с летней кухней – 2.9 м; сарай-дровяник – 3.0 м;  пространственная организация ансамбля: открытое пространство по переулку Кривому, сохранение бассейна видимости объекта по переулку Кривому, в границах участка со стороны южного, восточного фасадов окон.   4. Объекты, входящие в состав усадьбы:  Жилой дом М.С. Куксиной  1. Объемно-планировочное решение и габариты здания в плане.   2. Фасады:  материал стен (основной объем – кирпич, оштукатуренный и побеленный, сени – дощатые, деревянное крыльцо);  кирпичный цоколь, оштукатуренный и побеленный;  декоративные элементы фасада (включая карниз, ленточный руст, ограждение крыльца);  габариты и конфигурация проемов;  рисунок переплетов окон;  деревянные наличники оконных проемов;  деревянные ставни;  габариты и конфигурация крыши, материал покрытия основного объема, сеней и крыльца.   3. Цветовое решение фасадов.  4. Оформление интерьеров:  стены и потолки оштукатурены и побелены;  деревянные полы;  деревянные филенчатые двери;  расположение, габаритные размеры, отделка (оштукатурена, побелена) кирпичной печи;  система отопления.  Баня с летней кухней  1. Объемно-планировочное решение и габариты здания в плане.  2. Фасады:  материал стен: основной объем – круглое бревно (способ врубки – с остатком), пристрой – необрезная доска;  габариты и конфигурация проемов;  рисунок переплетов окон;  рисунок полотна наружных дверей;  деревянные наличники дверного проема в летней кухне со стороны западного фасада;  габариты и конфигурация крыши, материал покрытия основного объема, цвет – сурик железный.   3. Цветовое решение фасадов.   4. Оформление интерьеров:  стены и потолки оштукатурены и побелены;  деревянные полы;  деревянные внутренние двери;  расположение, габаритные размеры, отделка печей.  Сарай-дровяник  1. Объемно-планировочное решение и габариты здания в плане.  2. Фасады:  материал стен: дерево (горбыль);  габариты и конфигурация дверного проема;  рисунок полотна наружных дверей;  габариты и конфигурация крыши, материал покрытия.  3. Цветовое решение фасадов.  4. Оформление интерьеров:  стены обшиты досками;  деревянные полы."
